PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
1,124974065,36314,Active,,,Potential missing data,Activity,,,,Active
2,194138063,76309820,Unspecified,,,,Activity,=,49,%,
3,194138064,76309821,Inactive,,,Potential missing data,Activity,,,,Not Active
4,194144956,76313539,Inactive,,,Potential missing data,Activity,,,,Not Active
5,194151789,76317049,Inactive,,,Potential missing data,Activity,,,,Not Active
6,194165749,76324423,Unspecified,,,,Activity,=,50,%,
7,194172595,76327976,Unspecified,,,,Activity,=,58,%,
8,194179421,76331629,Inactive,,,Potential missing data,Activity,,,,Not Active
