PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
1,103164917,5566,Unspecified,,,,IC50,=,8,ug.mL-1,
2,103169389,2726,Unspecified,,,,MIC,=,10,ug.mL-1,
3,103178920,4926,Unspecified,,,,IC50,=,128,ug.mL-1,Outside typical range
4,103189029,4927,Unspecified,,,,MIC,=,20,ug.mL-1,
5,103216614,7108,Unspecified,,,,IC50,>,64,ug.mL-1,Outside typical range
6,103680358,7082,Unspecified,,,,IC50,>,64,ug.mL-1,Outside typical range
7,134449515,7088,Unspecified,,,,IC50,>,64,ug.mL-1,Outside typical range
8,312358135,118713983,Unspecified,,,,IC50,=,1,ug.mL-1,
9,312358136,118713985,Unspecified,,,,IC50,=,0.5,ug.mL-1,
10,312358137,101028219,Unspecified,,,,IC50,>,64,ug.mL-1,Outside typical range
11,312358138,80374,Unspecified,,,,IC50,>,128,ug.mL-1,Outside typical range
12,312367698,118719854,Unspecified,,,,IC50,=,1,ug.mL-1,
