PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,163314291,66553750,Unspecified,,,Potential missing data,Inhibition,Dose-dependent effect
2,312354855,101902802,Unspecified,,,Potential missing data,Inhibition,Dose-dependent effect
3,312354856,118711799,Unspecified,,,Potential missing data,Inhibition,Dose-dependent effect
4,312354857,118711800,Unspecified,,,Potential missing data,Inhibition,Dose-dependent effect
5,312354858,118711801,Unspecified,,,Potential missing data,Inhibition,Dose-dependent effect
6,312354859,118711802,Unspecified,,,Potential missing data,Inhibition,Dose-dependent effect
7,312354860,118711803,Unspecified,,,Potential missing data,Inhibition,Dose-dependent effect
8,312354861,118711804,Unspecified,,,Potential missing data,Inhibition,Dose-dependent effect
9,312354862,101902803,Unspecified,,,Potential missing data,Inhibition,Dose-dependent effect
