PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average rate(O2_Uptake(Control)),Standard error(O2_Uptake(Control)),Student's t-test(O2_Uptake(Control)),Outcome(O2_Uptake(Control)),Average rate(O2_Uptake(Treatment)),Standard error(O2_Uptake(Treatment)),Student's t-test(O2_Uptake(Treatment)),Outcome(O2_Uptake(Treatment)),Average rate(Growth(Control)),Standard error(Growth(Control)),Student's t-test(Growth(Control)),Outcome(Growth(Control)),Average rate(Growth(Treatment)),Standard error(Growth(Treatment)),Student's t-test(Growth(Treatment)),Outcome(Growth(Treatment))
RESULT_TYPE,,,,,,,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,INTEGER
RESULT_DESCR,,,,,,,"Residual oxygen uptake rate in the presence of test compound, control condition","Standard error of the mean of oxygen uptake measurement, control condition.","p-value of comparison with internal control in oxygen uptake measurements, control condition","Inhibitory activity on oxygen uptake, control condition. Compounds were considered active if p-value < 0.01.","Residual oxygen uptake rate in the presence of test compound, azoxystrobin-treated. AOX-induced condition.","Standard error of the mean of oxygen uptake measurement, azoxystrobin-treated. AOX-induced condition.","p-value of comparison with internal control in oxygen uptake measurements, azoxystrobin-treated. AOX-induced condition.","Inhibitory activity on oxygen uptake, azoxystrobin-treated. AOX-induced. Compounds were considered active if p-value < 0.01.","Normalized maximal growth rate in the presence of test compound, control condition.","Standard error of the mean of growth measurement, control condition.","p-value of comparison with internal control in growth measurements, control condition","Inhibitory activity on growth, control condition. Compounds were considered active if p-value < 0.05.","Normalized maximal growth rate in the presence of test compound, azoxystrobin-treated. AOX-induced condition.","Standard error of the mean of growth measurement, azoxystrobin-treated condition.","p-value after comparison with internal control, azoxystrobin-treated. AOX-induced condition.","Inhibitory activity on growth, azoxystrobin-treated. azoxystrobin-treated condition. Compounds were considered active if p-value < 0.05."
RESULT_UNIT,,,,,,,PERCENT,PERCENT,NONE,NONE,PERCENT,PERCENT,NONE,NONE,PERCENT,PERCENT,NONE,NONE,PERCENT,PERCENT,NONE,NONE
RESULT_ATTR_CONC_MICROMOL,,,,,,,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
1,363681715,7168,Active,,,,99.93,0.75,0.0932699,1,67.16,0.65,0.00018,2,94.28,7.76,0.368788,1,69.81,9,0.0459608,2
2,363681716,202396,Active,,,,88.55,8.25,0.176062,1,15.73,4.17,7.26e-05,2,71.62,1.53,0.0155243,2,51.89,4.26,0.0044276,2
3,363681717,280160,Active,,,,84.02,3.09,0.0041159,2,16.8,7.26,0.0031745,2,71.38,4.35,0.0517555,1,38.87,7.7,0.0035136,2
4,363681718,95833,Active,,,,88.01,7.96,0.157054,1,21.47,6.11,0.0015906,2,118.38,5.42,0.0838269,1,46.92,8.97,0.0103679,2
5,363681719,242888,Active,,,,102.49,6.87,0.756482,1,43.57,4,0.0003044,2,92.84,7.79,0.324271,1,82.95,9,0.14523,1
6,363681720,4785981,Active,,,,78.57,1.86,6.77e-05,2,17.29,8.52,0.0061549,2,91.03,5.63,0.227445,1,94.95,7.73,0.563355,1
