PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype replicate 1,Phenotype replicate 2,Phenotype replicate 3,Phenotype replicate 4,Predicted Target Gene
RESULT_TYPE,,,,,,,STRING,STRING,STRING,STRING,TARGET_NCBI_GENE_ID
RESULT_UNIT,,,,,,,NONE,NONE,NONE,NONE,NONE
1,104179830,,Inactive,,,DRSC00038,mito clumps,MITO CLUMPS WITH CELL DEATH,,,33288
2,104179946,,Inactive,,,DRSC00154,mito clumps,CELL DEATH WITH MITO CLUMPS,,,
3,104179954,,Inactive,,,DRSC00162,mito clumps,CELL DEATH WITH MITO CLUMPS,,,
4,104179991,,Inactive,,,DRSC00199,mito clumps,CELL DEATH WITH MITO CLUMPS,,,
5,104180048,,Inactive,,,DRSC00256,mito clumps with cell death,CELL DEATH WITH MITO CLUMPS,,,33681
6,104180053,,Inactive,,,DRSC00261,cell death mito clumps with cell shape changes,,,,
7,104180217,,Inactive,,,DRSC00425,mito clumps,,,,43895
8,104180327,,Inactive,,,DRSC00535,mito clumps,,,,33235
9,104180366,,Active,3,,DRSC00574,CLUMPED,MITO CLUMPS,,,33445
10,104180413,,Active,3,,DRSC00621,PERINUCLEAR,,,,33198
11,104180593,,Inactive,,,DRSC00801,mito clumps,,,,33392
12,104180624,,Inactive,,,DRSC00832,mito clumps,,,,33583
13,104180802,,Inactive,,,DRSC01010,mito clumps,,,,318841
14,104180872,,Inactive,,,DRSC01080,cell death with mito clumps,CELL DEATH WITH MITO CLUMPS,,,34275
15,104180880,,Inactive,,,DRSC01088,mito clumps,CELL DEATH,,,
16,104180954,,Inactive,,,DRSC01162,cell death,CELL DEATH,,,318236
17,104180968,,Inactive,,,DRSC01176,mito clumps,VERY WEAK PHENOTYPE,,,
18,104181028,,Inactive,,,DRSC01236,mito clumps,CELL DEATH WITH MITO CLUMPS,,,34648
19,104181076,,Inactive,,,DRSC01284,mito clumps,,,,
20,104181088,,Inactive,,,DRSC01296,mito clumps with cell death,CELL DEATH WITH MITO CLUMPS,,,
21,104181089,,Inactive,,,DRSC01297,mito clumps wtih cell death,CELL DEATH WITH MITO CLUMPS,,,
22,104181091,,Inactive,,,DRSC01299,mito clumps,CELL DEATH,,,
23,104181128,,Inactive,,,DRSC01336,mito clumps with cell death,,,,318958
24,104181167,,Inactive,,,DRSC01375,cell death with mito clumps,CELL DEATH WITH MITO CLUMPS,,,43946
25,104181205,,Inactive,,,DRSC01413,mito clumps,CELL DEATH WITH MITO CLUMPS,,,"8673977,318935"
26,104181244,,Inactive,,,DRSC01452,cell death with mito clumps,CELL DEATH WITH MITO CLUMPS,,,
27,104181387,,Inactive,,,DRSC01595,cell death with mito clumps,CELL DEATH WITH MITO CLUMPS,,,
28,104181487,,Inactive,,,DRSC01695,cell death with mito clumps,,,,
29,104181491,,Inactive,,,DRSC01699,cell death with mito clumps,,,,
30,104181590,,Inactive,,,DRSC01798,mito clumps,,,,
31,104181744,,Active,3,,DRSC01952,CELL DEATH,,,,34858
32,104181762,,Inactive,,,DRSC01970,mito clumps,MITO CLUMPS,CELL DEATH WITH MITO CLUMPS,,5740685
33,104182180,,Inactive,,,DRSC02388,decreased mito fluorescence,,,,
34,104182193,,Inactive,,,DRSC02401,mito clumps,"MITO CLUMPS, MITO PUNCTA",,,34530
