PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,W590-Activity_Score,W590-Curve_Description,W590-Fit_LogAC50,W590-Fit_HillSlope,W590-Fit_R2,W590-Fit_InfiniteActivity,W590-Fit_ZeroActivity,W590-Fit_CurveClass,W590-Excluded_Points,W590-Max_Response,W590-Activity at 0.0005899000 uM,W590-Activity at 0.00295 uM,W590-Activity at 0.015 uM,W590-Activity at 0.033 uM,W590-Activity at 0.074 uM,W590-Activity at 0.165 uM,W590-Activity at 0.369 uM,W590-Activity at 0.824 uM,W590-Activity at 1.843 uM,W590-Activity at 4.122 uM,W590-Activity at 9.217 uM,W590-Activity at 20.61 uM,W590-Activity at 46.08 uM,W590-Activity at 92.17 uM,Ratio-Activity_Score,Ratio-Curve_Description,Ratio-Fit_LogAC50,Ratio-Fit_HillSlope,Ratio-Fit_R2,Ratio-Fit_InfiniteActivity,Ratio-Fit_ZeroActivity,Ratio-Fit_CurveClass,Ratio-Excluded_Points,Ratio-Max_Response,Ratio-Activity at 0.0005899000 uM,Ratio-Activity at 0.00295 uM,Ratio-Activity at 0.015 uM,Ratio-Activity at 0.033 uM,Ratio-Activity at 0.074 uM,Ratio-Activity at 0.165 uM,Ratio-Activity at 0.369 uM,Ratio-Activity at 0.824 uM,Ratio-Activity at 1.843 uM,Ratio-Activity at 4.122 uM,Ratio-Activity at 9.217 uM,Ratio-Activity at 20.61 uM,Ratio-Activity at 46.08 uM,Ratio-Activity at 92.17 uM,W535-Activity_Score,W535-Curve_Description,W535-Fit_LogAC50,W535-Fit_HillSlope,W535-Fit_R2,W535-Fit_InfiniteActivity,W535-Fit_ZeroActivity,W535-Fit_CurveClass,W535-Excluded_Points,W535-Max_Response,W535-Activity at 0.0005898618 uM,W535-Activity at 0.00295 uM,W535-Activity at 0.015 uM,W535-Activity at 0.033 uM,W535-Activity at 0.074 uM,W535-Activity at 0.165 uM,W535-Activity at 0.369 uM,W535-Activity at 0.825 uM,W535-Activity at 1.843 uM,W535-Activity at 4.120 uM,W535-Activity at 9.217 uM,W535-Activity at 20.60 uM,W535-Activity at 46.08 uM,W535-Activity at 92.17 uM,Compound QC
RESULT_TYPE,,,,,,,STRING,FLOAT,FLOAT,STRING,INTEGER,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,"Indicates type of activity observed: inhibitor, activator, fluorescent, cytotoxic, inactive, or inconclusive.","Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",Annotation/notes on a particular compound's data or its analysis.,Activity score.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically significant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,Activity score.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically significant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,Activity score.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically significant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"NCGC designation for data stage: &apos;qHTS&apos;, &apos;qHTS Verification&apos;, &apos;Secondary Profiling&apos;"
RESULT_UNIT,,,,,,,NONE,MICROMOLAR,PERCENT,NONE,NONE,NONE,NONE,NONE,NONE,PERCENT,PERCENT,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,NONE,NONE,NONE,NONE,PERCENT,PERCENT,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,NONE,NONE,NONE,NONE,PERCENT,PERCENT,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,,,,0.0005899,0.002949,0.01475,0.03297,0.07373,0.1649,0.3687,0.8244,1.843,4.122,9.217,20.61,46.08,92.17,,,,,,,,,,,0.0005899,0.002949,0.01475,0.03297,0.07373,0.1649,0.3687,0.8244,1.843,4.122,9.217,20.61,46.08,92.17,,,,,,,,,,,0.000589862,0.00294931,0.0147465,0.0329954,0.0737327,0.164977,0.368664,0.824885,1.84332,4.11982,9.21659,20.5991,46.0829,92.1659,
1,17388662,26041,Active,40,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB07944716-01/115412575,,Inhibitor,29.8493,76.2257,,0,Partial curve; high efficacy,-4.7251,0.9,0.9238,-74.7935,-7.4877,-2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-65.6083,-9.5591,-5.9906,-10.4393,-7.3929,-0.8426,-4.7821,-14.2928,-5.724,-25.3741,-26.5651,-20.9024,-43.5181,-51.8211,-65.6083,0,Partial curve; partial efficacy,-4.5251,0.9,0.9394,-78.8153,-2.5896,-2.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-59.7086,-5.125,-0.717,-3.5095,-1.3043,1.1875,0.5972,-6.3407,-2.3383,-19.1285,-18.0837,-12.4407,-35.7831,-47.6534,-59.7086,10,,,,,,,4,,2.7131,-0.0324,-0.8214,0.4628,-0.4028,-0.5763,-0.4512,-0.3891,0.0189,0.8462,0.8193,2.2406,1.3868,0.1743,2.7131,QC'd by NIEHS/NTP
2,17388663,5281576,Active,40,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB07930229-01/115412553,,Inhibitor,37.578,109.134,,0,Partial curve; high efficacy,-4.3751,2.3332,0.9364,-99.7274,-1.6685,-2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-103.883,-1.2299,7.3527,0.9416,0.6375,-0.1732,5.0389,-3.644,-2.3042,-7.8282,-5.5472,-12.0165,-23.5892,-45.7313,-103.883,0,Partial curve; high efficacy,-4.4251,1.6924,0.9456,-108.572,0.5614,-2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-106.443,0.1651,-3.1302,5.8372,2.9793,2.0308,5.4317,0.7337,1.2924,-1.8829,-2.1841,-19.9109,-31.5421,-50.4255,-106.443,10,,-4.25,1.21,0.9352,24,0.1834,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,17.147,-1.5138,1.5179,-0.6828,0.8432,0.5697,2.0563,-0.5729,1.0718,0.6825,1.2473,3.1074,6.6728,8.2625,17.147,QC'd by NIEHS/NTP
3,17388664,5281575,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB13681038-01/115412777,,Inactive,,,,0,,-4.1251,0.7,0.5029,-24.9614,-4,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-17.4678,-4.3974,-1.3755,-4.2736,-5.0582,-7.3853,3.1748,-13.7177,-6.988,-1.4504,-5.6974,-7.3214,-7.3528,-14.246,-17.4678,10,,-4.3751,0.9,0.6701,-20.6491,-2,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-15.541,-2.3827,1.8011,-0.0328,-2.9252,-2.6617,2.1396,-9.5762,-4.9158,-0.3703,-4.8527,-7.2736,-5.6858,-12.5074,-15.541,10,,,,,,,4,,-4.7939,-0.2588,-2.5731,-1.542,-0.6588,-1.3537,2.0965,-2.0794,-1.5795,-0.35,-1.0904,-4.0898,-3.2025,-4.4007,-4.7939,QC'd by NIEHS/NTP
4,17388665,5280795,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB07944741-01/115412982,,Inactive,,,,0,,,,,,,4,,-16.0531,-6.084,38.7469,-14.009,-7.1928,71.5896,-5.9662,-9.8128,-9.0369,-1.584,-8.6403,-8.3595,-25.8876,-8.0922,-16.0531,10,,,,,,,4,,-16.0421,-11.5943,0,-20.1015,-12.1013,0,-8.8217,-14.7783,-14.2546,-8.7541,-16.0517,-11.6129,-24.6903,-10.0701,-16.0421,10,,,,,,,4,,-5.6974,-2.4015,-0.9843,-1.9669,-3.5255,-0.9439,-3.347,-1.737,-2.5499,-0.9427,-0.0398,-2.8321,-4.9167,-3.4946,-5.6974,QC'd by NIEHS/NTP
5,17388666,7529,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB07944748-01/115412169,,Inactive,,,,0,,,,,,,4,,-3.6146,-7.0021,2.4608,-13.4616,-14.6725,0.5038,-6.33,1.3719,-5.4232,-6.9448,-3.0188,-0.8943,-10.0778,-2.6099,-3.6146,10,,,,,,,4,,1.4202,-7.1644,8.2041,-8.0361,-11.4006,0.8035,0.3198,-3.2111,-2.2015,-5.1186,-3.569,1.2533,-3.2663,-3.0357,1.4202,10,,,,,,,4,,0.5203,1.1685,-3.1316,-3.1121,-0.6551,2.1461,-3.4303,2.6775,-2.331,-1.323,4.6843,0.5886,-1.0286,0.3895,0.5203,QC'd by NIEHS/NTP
