PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Vendor Supplied Gene Symbol,Raw Sample Value,Median Negative Control on Plate,Median Positive Control on Plate,PPT Sample as Percentage of Negative Control,PPT MAD Z-Score,PPT Log MAD Z-Score,"Cell Count, Sample",Median Negative Control Cell Count on Plate,Median Positive Control Cell Count on Plate,"Sample Cell Count, MAD Z-Score Normalized to Negative Control",Sample Mitochondrial Signal,Median Negative Control Mitochondrial Signal on Plate,Median Positive Control Mitochondrial Signal on Plate,"Sample mitochondrial signal, MAD Z-Score Normalized to Negative Control",HUGO Gene Symbol,Entrez GeneID,CatalogNumber,REFSEQ,PLATE ID,Row Number,Column Number,Passed Initial Activity Threshold?
RESULT_TYPE,,,,,,,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,TARGET_NCBI_GENE_ID,STRING,STRING,STRING,INTEGER,INTEGER,STRING
RESULT_UNIT,,,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,,,,,NONE,NONE,
1,56478465,,Inactive,0,,,AKT3,26.2868,38.6229,93.3125,68.0601,-1.04705,-1.34469,947,1275,1010.5,-0.848906,22.2809,40.0672,54.6009,-1.65815,AKT3,10000,M-003002-02,NM_005465,QDA103595,5,21,No
2,56478467,,Inactive,0,,,GSK3A,74.6303,38.6229,93.3125,193.228,1.36219,1.04417,770,1275,1010.5,-2.06443,44.8052,40.0672,54.6009,1.89005,GSK3A,2931,M-003009-01,NM_019884,QDA103595,2,17,No
3,56478468,,Inactive,0,,,GSK3B,59.591,38.8317,94.1628,153.46,0.596729,0.516634,1333,1361,968,1.22345,42.6857,43.7155,49.8988,0.994994,GSK3B,2932,M-003010-03,NM_002093,QDA103627,14,21,No
4,56478471,,Inactive,0,,,IRS1,53.6,33.9208,94.4323,158.015,0.684412,0.583603,754,1304,1015.5,-2.28946,30.6366,44.8517,59.5009,-0.85672,IRS1,3667,M-003015-01,NM_005544,QDA103773,7,3,No
5,56478474,,Inactive,0,,,PIK3CB,45.8221,38.8317,94.1628,118.002,-0.0857674,-0.084855,993,1361,968,-0.96391,30.0101,43.7155,49.8988,-0.835124,PIK3CB,5291,M-003019-02,NM_006219,QDA103627,4,13,No
6,56478482,,Inactive,0,,,TNK2,46.3576,38.6229,93.3125,120.026,-0.0468022,-0.0459141,946,1275,1010.5,-0.855774,31.9239,40.0672,54.6009,-0.139111,TNK2,10188,M-003102-04,NM_005781,QDA103595,2,8,No
7,56478483,,Inactive,0,,,ALK,53.7879,38.8317,94.1628,138.516,0.309081,0.28208,815,1361,968,-2.10906,21.4724,43.7155,49.8988,-2.0678,ALK,238,M-003103-02,NM_004304,QDA103627,3,18,No
8,56478485,,Inactive,0,,,BLK,29.947,37.237,92.7941,80.4228,-0.809095,-0.962587,1062,1234,1031,0.183154,30.0377,39.9446,56.7057,-0.42172,BLK,640,M-003105-03,NM_001715,QDA103607,15,18,No
9,56478487,,Inactive,0,,,BTK,23.7018,38.6229,93.3125,61.3674,-1.17588,-1.58166,1092,1275,1010.5,0.146858,33.2418,40.0672,54.6009,0.0684899,BTK,695,M-003107-01,NM_000061,QDA103595,2,13,No
10,56478490,,Inactive,0,,,CSK,27.6085,38.6229,93.3125,71.4822,-0.981183,-1.23238,1013,1275,1010.5,-0.395662,34.5508,40.0672,54.6009,0.274707,CSK,1445,M-003110-02,NM_004383,QDA103595,11,7,No
11,56478493,,Inactive,0,,,STYK1,72.6462,38.6229,93.3125,188.091,1.26332,0.982482,975,1275,1010.5,-0.656621,33.1282,40.0672,54.6009,0.0506023,STYK1,55359,M-003113-01,NM_018423,QDA103595,15,5,No
12,56478503,,Inactive,0,,,EPHB3,42.3561,38.8317,94.1628,109.076,-0.25757,-0.264918,1025,1361,968,-0.758041,34.5366,43.7155,49.8988,-0.181581,EPHB3,2049,M-003123-02,NM_004443,QDA103627,12,12,No
13,56478510,,Inactive,0,,,FES,65.27,38.8317,94.1628,168.085,0.878228,0.725028,997,1361,968,-0.938177,39.8195,43.7155,49.8988,0.581167,FES,2242,M-003130-01,NM_002005,QDA103627,11,12,No
14,56478513,,Inactive,0,,,FGFR3,52.4522,37.237,92.7941,140.861,0.354218,0.320514,1050,1234,1031,0.0980079,33.3333,39.9446,56.7057,0.0990334,FGFR3,2261,M-003133-01,NM_000142,QDA103607,15,9,No
15,56478514,,Inactive,0,,,FGFR4,57.2358,38.8317,94.1628,147.395,0.479986,0.424318,1136,1361,968,-0.0439336,45.2465,43.7155,49.8988,1.36473,FGFR4,2264,M-003134-02,NM_002011,QDA103627,6,6,No
16,56478519,,Inactive,0,,,FRK,43.5829,38.8317,94.1628,112.235,-0.196761,-0.199554,999,1361,968,-0.92531,27.6276,43.7155,49.8988,-1.1791,FRK,2444,M-003139-01,NM_002031,QDA103627,4,11,No
17,56478524,,Inactive,0,,,JAK2,23.4796,38.6229,93.3125,60.7919,-1.18695,-1.60323,1202,1275,1010.5,0.902266,51.9967,40.0672,54.6009,3.02291,JAK2,3717,M-003146-02,NM_004972,QDA103595,5,16,No
18,56478525,,Inactive,0,,,JAK3,39.3285,38.6229,93.3125,101.827,-0.397103,-0.422358,1157,1275,1010.5,0.593236,38.2887,40.0672,54.6009,0.863521,JAK3,3718,M-003147-01,NM_000215,QDA103595,2,20,No
19,56478526,,Inactive,0,,,KDR,66.0395,38.8317,94.1628,170.066,0.916371,0.75186,867,1361,968,-1.77452,12.5721,43.7155,49.8988,-3.35284,KDR,3791,M-003148-01,NM_002253,QDA103627,4,22,No
20,56478534,,Inactive,0,,,MET,38.7312,38.8317,94.1628,99.7414,-0.437249,-0.469736,1074,1361,968,-0.442805,37.7095,43.7155,49.8988,0.276528,MET,4233,M-003156-02,NM_000245,QDA103627,10,4,No
21,56478536,,Inactive,0,,,MUSK,55.9099,38.6229,93.3125,144.759,0.429248,0.383005,932,1275,1010.5,-0.951916,33.2618,40.0672,54.6009,0.0716479,MUSK,4593,M-003158-01,NM_005592,QDA103595,7,7,No
22,56478542,,Inactive,0,,,PTK2,32.4976,37.237,92.7941,87.2724,-0.677253,-0.775466,901,1234,1031,-0.959223,31.2986,39.9446,56.7057,-0.222484,PTK2,5747,M-003164-02,NM_005607,QDA103607,7,18,No
23,56478543,,Inactive,0,,,PTK2B,57.9352,38.6229,93.3125,150.002,0.530176,0.464463,1011,1275,1010.5,-0.409396,46.6865,40.0672,54.6009,2.1864,PTK2B,2185,M-003165-03,NM_004103,QDA103595,12,14,No
24,56478546,,Inactive,0,,,PTK9,45.3689,37.237,92.7941,121.838,-0.0119227,-0.0116093,1089,1234,1031,0.374733,31.7723,39.9446,56.7057,-0.147632,TWF1,5756,M-003168-03,NM_002822,QDA103607,13,13,No
25,56478547,,Inactive,0,,,PTK9L,66.3532,38.8317,94.1628,170.874,0.931919,0.762708,864,1361,968,-1.79382,29.2824,43.7155,49.8988,-0.940185,TWF2,11344,M-003169-01,NM_007284,QDA103627,9,9,No
