PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),535 nm Activity,535 nm Potency (uM),535 nm Efficacy (%),590 nm Activity,590 nm Potency (uM),590 nm Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source
RESULT_TYPE,,,,,,,STRING,STRING,FLOAT,FLOAT,STRING,FLOAT,FLOAT,STRING,FLOAT,FLOAT,STRING,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,Type of compound activity based on both the MMP readout and the cell viability counter screen.,Type of compound activity in the ratio readout of the MMP screen.,The concentration of sample yielding half-maximal activation in the ratio readout of the MMP screen.,Percent activation in the ratio readout of the MMP screen.,Type of compound activity in the 535 nm readout of the MMP screen.,he concentration of sample yielding half-maximal activation in the 535 nm readout of the MMP screen.,Type of compound activity in the 535 nm readout of the MMP screen.,Type of compound activity in the 590 nm readout of the MMP screen.,he concentration of sample yielding half-maximal activation in the 590 nm readout of the MMP screen.,Type of compound activity in the 590 nm readout of the MMP screen.,Type of compound activity in the cell viability counter screen.,The concentration of sample yielding half-maximal inhibition of cell viability.,Percent inhibition of cell viability.,Where sample was obtained.
RESULT_UNIT,,,,,,,NONE,NONE,MICROMOLAR,PERCENT,NONE,MICROMOLAR,PERCENT,NONE,MICROMOLAR,PERCENT,NONE,MICROMOLAR,PERCENT,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,
1,144203552,12850184,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
2,144203553,89753,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
3,144203554,9403,Active,49,,,active antagonist,active antagonist,6.68242,-57.5367,inactive,,0,inconclusive antagonist,5.30804,-49.1416,inconclusive,,,NCI
4,144203555,13218779,Inconclusive,5,,,inconclusive,active antagonist,0.298493,-59.0641,inactive,,0,inconclusive agonist,,,inactive,,0,NCI
5,144203556,142766,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,6.68242,-31.9909,inactive,,0,inconclusive antagonist,,,inactive,,0,NCI
6,144203557,16043,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
7,144203558,16043,Active,47,,,active antagonist,active antagonist,24.0651,-91.976,active agonist,27.0015,33.8497,active antagonist,27.0015,-75.5062,inactive,,0,SigmaAldrich
8,144203559,2724411,Active,47,,,active antagonist,active antagonist,28.7255,-104.862,inactive,,0,active antagonist,26.6032,-107.612,inactive,,0,NCI
9,144203560,2724372,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,inconclusive antagonist,,,inactive,,0,NCI
10,144203561,637566,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,NCI
11,144203562,994,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
12,144203563,4766,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
13,144203564,79472,Active,48,,,active antagonist,active antagonist,25.0066,-99.0601,active agonist,28.0578,96.2381,active antagonist,22.095,-51.6939,inactive,,0,Labotest
14,144203565,3080,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
15,144203566,197883,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
16,144203567,51,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
