PUBCHEM_SID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
56478465,Inactive,0
56478467,Inactive,0
56478468,Inactive,0
56478471,Inactive,0
56478474,Inactive,0
56478482,Inactive,0
56478483,Inactive,0
56478485,Inactive,0
56478487,Inactive,0
56478490,Inactive,0
56478493,Inactive,0
56478503,Inactive,0
56478510,Inactive,0
56478513,Inactive,0
56478514,Inactive,0
56478519,Inactive,0
56478524,Inactive,0
56478525,Inactive,0
56478526,Inactive,0
56478534,Inactive,0
56478536,Inactive,0
56478542,Inactive,0
56478543,Inactive,0
56478546,Inactive,0
56478547,Inactive,0
56478550,Active,100
56478551,Inactive,0
56478553,Inactive,0
56478554,Inactive,0
56478561,Inactive,0
56478566,Inactive,0
56478568,Inactive,0
56478572,Inactive,0
56478573,Inactive,0
56478574,Inactive,0
56478577,Inactive,0
56478578,Inactive,0
56478580,Inactive,0
56478581,Inactive,0
56478582,Inactive,0
56478584,Inactive,0
56478587,Inactive,0
56478590,Inactive,0
56478591,Inactive,0
56478592,Inactive,0
56478594,Inactive,0
56478596,Active,100
56478597,Inactive,0
56478598,Inactive,0
56478599,Inactive,0
56478600,Inactive,0
56478602,Inactive,0
56478604,Inactive,0
56478606,Inactive,0
56478608,Inactive,0
56478615,Inactive,0
56478616,Active,100
56478617,Inactive,0
56478618,Inactive,0
56478619,Inactive,0
56478621,Inactive,0
56478622,Inactive,0
56478624,Inactive,0
56478627,Inactive,0
56478628,Inactive,0
56478630,Active,100
56478631,Inactive,0
56478632,Inactive,0
56478634,Inactive,0
56478635,Inactive,0
56478638,Inactive,0
56478640,Inactive,0
56478641,Inactive,0
56478643,Inactive,0
56478648,Inactive,0
56478651,Active,100
56478652,Inactive,0
56478654,Inactive,0
56478655,Inactive,0
56478658,Inactive,0
56478659,Inactive,0
56478660,Inactive,0
56478662,Inactive,0
56478664,Inactive,0
56478666,Inactive,0
56478668,Inactive,0
56478669,Inactive,0
56478672,Inactive,0
56478673,Inactive,0
56478674,Inactive,0
56478675,Inactive,0
56478676,Inactive,0
56478683,Inactive,0
56478687,Inactive,0
56478688,Inactive,0
56478689,Inactive,0
56478690,Inactive,0
56478692,Inactive,0
56478694,Inactive,0
56478697,Inactive,0
56478699,Inactive,0
56478700,Inactive,0
56478702,Inactive,0
56478704,Inactive,0
56478707,Inactive,0
56478708,Inactive,0
56478716,Inactive,0
56478719,Inactive,0
56478720,Inactive,0
56478721,Inactive,0
56478723,Inactive,0
56478724,Inactive,0
56478725,Inactive,0
56478726,Inactive,0
56478729,Inactive,0
56478731,Inactive,0
56478732,Inactive,0
56478736,Inactive,0
56478742,Inactive,0
56478746,Inactive,0
56478747,Inactive,0
56478748,Inactive,0
56478749,Inactive,0
56478751,Inactive,0
56478752,Inactive,0
56478753,Inactive,0
56478754,Inactive,0
56478756,Inactive,0
56478759,Active,100
56478762,Inactive,0
56478763,Inactive,0
56478765,Active,100
56478766,Inactive,0
56478768,Inactive,0
56478772,Inactive,0
56478775,Inactive,0
56478776,Inactive,0
56478777,Inactive,0
56478779,Inactive,0
56478780,Inactive,0
56478782,Inactive,0
56478783,Inactive,0
56478785,Inactive,0
56478790,Inactive,0
56478791,Inactive,0
56478794,Inactive,0
56478804,Inactive,0
56478805,Inactive,0
56478807,Inactive,0
56478810,Inactive,0
56478811,Inactive,0
56478812,Inactive,0
