PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,smiles,AID,match,murcko,gen_murcko
94391,Unspecified,,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)C(=O)O,1174410,False,c1ccc2c(c1)CCC1CCCCC21,C1CCC2C(C1)CCC1CCCCC12
3385,Active,,O=c1[nH]cc(F)c(=O)[nH]1,1174410,False,O=c1cc[nH]c(=O)[nH]1,CC1CCCC(C)C1
118719412,Active,,CC(C)c1ccc2c(c1)/C(=N\O)C[C@@H]1[C@]2(C)CCC[C@@]1(C)C(=O)N[C@H](Cc1ccccc1)C(=O)Nc1ccccc1Cl,1174410,False,N=C1CC2C(C(=O)NC(Cc3ccccc3)C(=O)Nc3ccccc3)CCCC2c2ccccc21,CC(CC1CCCCC1)C(CC1CCCCC1)CC(C)C1CCCC2C3CCCCC3C(C)CC12
118719413,Active,,CC(C)c1ccc2c(c1)/C(=N\O)C[C@@H]1[C@]2(C)CCC[C@@]1(C)C(=O)N[C@@H](Cc1ccccc1)C(=O)Nc1ccc(Cl)cc1,1174410,False,N=C1CC2C(C(=O)NC(Cc3ccccc3)C(=O)Nc3ccccc3)CCCC2c2ccccc21,CC(CC1CCCCC1)C(CC1CCCCC1)CC(C)C1CCCC2C3CCCCC3C(C)CC12
118719414,Active,,CC(C)c1ccc2c(c1)/C(=N\O)C[C@@H]1[C@]2(C)CCC[C@@]1(C)C(=O)N[C@H](Cc1ccccc1)C(=O)Nc1ccc(Cl)cc1,1174410,False,N=C1CC2C(C(=O)NC(Cc3ccccc3)C(=O)Nc3ccccc3)CCCC2c2ccccc21,CC(CC1CCCCC1)C(CC1CCCCC1)CC(C)C1CCCC2C3CCCCC3C(C)CC12
118719415,Active,,COc1cc(NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@]2(C)CCC[C@]3(C)c4ccc(C(C)C)cc4/C(=N\O)C[C@H]32)cc(OC)c1OC,1174410,False,N=C1CC2C(C(=O)NC(Cc3ccccc3)C(=O)Nc3ccccc3)CCCC2c2ccccc21,CC(CC1CCCCC1)C(CC1CCCCC1)CC(C)C1CCCC2C3CCCCC3C(C)CC12
118719416,Active,,COc1cc(NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@]2(C)CCC[C@]3(C)c4ccc(C(C)C)cc4/C(=N\O)C[C@H]32)cc(OC)c1OC,1174410,False,N=C1CC2C(C(=O)NC(Cc3ccccc3)C(=O)Nc3ccccc3)CCCC2c2ccccc21,CC(CC1CCCCC1)C(CC1CCCCC1)CC(C)C1CCCC2C3CCCCC3C(C)CC12
118724735,Active,,CC(C)c1ccc2c(c1)C(=O)C[C@@H]1[C@]2(C)CCC[C@@]1(C)C(=O)N[C@@H](Cc1ccccc1)C(=O)Nc1ccccc1,1174410,False,O=C1CC2C(C(=O)NC(Cc3ccccc3)C(=O)Nc3ccccc3)CCCC2c2ccccc21,CC(CC1CCCCC1)C(CC1CCCCC1)CC(C)C1CCCC2C3CCCCC3C(C)CC12
118724736,Active,,CC(C)c1ccc2c(c1)C(=O)C[C@@H]1[C@]2(C)CCC[C@@]1(C)C(=O)N[C@H](Cc1ccccc1)C(=O)Nc1ccccc1,1174410,False,O=C1CC2C(C(=O)NC(Cc3ccccc3)C(=O)Nc3ccccc3)CCCC2c2ccccc21,CC(CC1CCCCC1)C(CC1CCCCC1)CC(C)C1CCCC2C3CCCCC3C(C)CC12
118724737,Active,,COc1ccccc1NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3C(=O)C[C@H]21,1174410,False,O=C1CC2C(C(=O)NC(Cc3ccccc3)C(=O)Nc3ccccc3)CCCC2c2ccccc21,CC(CC1CCCCC1)C(CC1CCCCC1)CC(C)C1CCCC2C3CCCCC3C(C)CC12
